State,Date,Official,Official_Name,Emergency_Declaration,Health_Declaration,Stayhome_Restrictions,Natguard_Restrictions,Travel_Restrictions,Gatheringban_rawlimit,Election_delay,Election_change,Public_meetings,x,y
Arizona,4/9/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/9/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/14/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/14/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/14/2020 2:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/15/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/22/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,4/29/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/11/2020 0:00:00,Governor,Douglas Ducey,1,1,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/11/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/15/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/19/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/19/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/19/2020 2:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/20/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/20/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/23/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/23/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/24/2020 0:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arizona,3/24/2020 1:00:00,Governor,Douglas Ducey,0,0,0,0,0,0,0,0,0,-12430463.5535,4068215.1655
Arkansas,3/11/2020 0:00:00,Governor,Asa Hutchinson,1,1,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/12/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/13/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/17/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/17/2020 1:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/18/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/19/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/20/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,1,0,-10290249.5743,4150289.480899997
Arkansas,3/23/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/24/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/26/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/30/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,3/30/2020 1:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/4/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,loding/hotels closed to everyone but essential workers,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/9/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,10,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/10/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/13/2020 0:00:00,Governor,Asa Hutchinson,extended,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/13/2020 1:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/13/2020 2:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/13/2020 3:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/13/2020 4:00:00,Governor,Asa Hutchinson,extended,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/18/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/21/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
Arkansas,4/24/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,allows counties to consolidate polling sites,0,-10290249.5743,4150289.480899997
Arkansas,5/1/2020 0:00:00,Governor,Asa Hutchinson,0,0,0,0,0,0,0,0,0,-10290249.5743,4150289.480899997
California,3/4/2020 0:00:00,Governor,Gavin Newsom,1,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/12/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,250,0,0,0,-13277101.270399999,4352220.592500001
California,3/13/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/15/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/16/2020 0:00:00,State Public Health Director,Sonia Angell,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/16/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/17/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/17/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/17/2020 2:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/18/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/19/2020 0:00:00,Governor,Gavin Newsom,0,0,1,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/20/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,1,0,-13277101.270399999,4352220.592500001
California,3/20/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/21/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/24/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/25/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/27/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/27/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/30/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,3/30/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/1/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/1/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/2/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/2/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/3/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/3/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/4/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/7/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/7/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/9/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,1,"allows local jurisdictions to do in person voting if it complies ""with public health and safety""",0,-13277101.270399999,4352220.592500001
California,4/14/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/15/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/16/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/16/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/17/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/22/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/22/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/22/2020 2:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/23/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,4/30/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,5/1/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,5/6/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,5/7/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
California,5/8/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,All eligible voters may vote by mail for the November 3rd general election. EO should not be interpreted to limit in person voting opportunities,0,-13277101.270399999,4352220.592500001
California,5/8/2020 1:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,make mail in voting available across the board,0,-13277101.270399999,4352220.592500001
California,5/19/2020 0:00:00,Governor,Gavin Newsom,0,0,0,0,0,0,0,0,0,-13277101.270399999,4352220.592500001
Colorado,3/11/2020 0:00:00,Governor,Jared Polis,1,1,0,1,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/14/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/16/2020 0:00:00,Dept. of Public Health Director,Jill Hunsaker Ryan,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/16/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,"suspend any notarization or handwritten signature requirements in any rules, regulations, or forms regarding the certification or acceptance of nomination, selection, or appointment",0,-11749529.173,4721463.9551
Colorado,3/18/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/18/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/18/2020 2:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,"waives any in person form filing requirements w/ sec of state, provides other election provisions",0,-11749529.173,4721463.9551
Colorado,3/18/2020 3:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/19/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/20/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/20/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/20/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/20/2020 2:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/22/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/25/2020 0:00:00,Governor,Jared Polis,0,0,1,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/25/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/25/2020 2:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/26/2020 0:00:00,Dept. of Public Health Director,Jill Hunsaker Ryan,0,0,0,0,"all travel forbidden, except ""necessary""",0,0,0,0,-11749529.173,4721463.9551
Colorado,3/26/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/26/2020 2:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,3/27/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/1/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/1/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/2/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/2/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/5/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 2:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 3:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 4:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/6/2020 5:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/8/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/9/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/11/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/14/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,1,election extension,0,-11749529.173,4721463.9551
Colorado,4/14/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/15/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/15/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/17/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/18/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/22/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/23/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/23/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/26/2020 0:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Colorado,4/26/2020 1:00:00,Governor,Jared Polis,0,0,0,0,0,0,0,0,0,-11749529.173,4721463.9551
Connecticut,3/17/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/18/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/19/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,1,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/20/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/21/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/22/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/23/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/24/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/25/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/26/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,5,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/26/2020 1:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/27/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/28/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/30/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/30/2020 1:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
Connecticut,3/31/2020 0:00:00,Governor,Ned Lamont,0,0,0,0,0,0,0,0,0,-8097191.174799999,5097304.783699997
